high_low,cumle,cumlenin_sorusu
high,Kurumun resmi sayfasına göre dersler iptal edildi.,Bu habere göre derse gitme ihtimaliniz nedir? (1–7)
high,Kurumun resmi sayfasına göre dersler iptal edilmiş.,Bu habere göre derse gitme ihtimaliniz nedir? (1–7)
low,Resmi olmayan bir sosyal medya hesabına göre dersler iptal edildi.,Bu habere göre derse gitme ihtimaliniz nedir? (1–7)
low,Resmi olmayan bir sosyal medya hesabına göre dersler iptal edilmiş.,Bu habere göre derse gitme ihtimaliniz nedir? (1–7)
high,Üniversitenin web sitesine göre sınav ertelendi.,Bu habere göre sınava gitme ihtimaliniz nedir? (1–7)
high,Üniversitenin web sitesine göre sınav ertelenmiş.,Bu habere göre sınava gitme ihtimaliniz nedir? (1–7)
low,Bir forum sitesine göre sınav ertelendi.,Bu habere göre sınava gitme ihtimaliniz nedir? (1–7)
low,Bir forum sitesine göre sınav ertelenmiş.,Bu habere göre sınava gitme ihtimaliniz nedir? (1–7)
high,Resmi açıklamaya göre etkinlik iptal edildi.,Bu habere göre etkinliğe gitme ihtimaliniz nedir? (1–7)
high,Resmi açıklamaya göre etkinlik iptal edilmiş.,Bu habere göre etkinliğe gitme ihtimaliniz nedir? (1–7)
low,Sosyal medya söylentisine göre etkinlik iptal edildi.,Bu habere göre etkinliğe gitme ihtimaliniz nedir? (1–7)
low,Sosyal medya söylentisine göre etkinlik iptal edilmiş.,Bu habere göre etkinliğe gitme ihtimaliniz nedir? (1–7)
high,Resmi açıklamaya göre konser iptal edildi.,Bu habere göre konsere gitme ihtimaliniz nedir? (1–7)
high,Resmi açıklamaya göre konser iptal edilmiş.,Bu habere göre konsere gitme ihtimaliniz nedir? (1–7)
low,Sosyal medyada dolaşan bir habere göre konser iptal edildi.,Bu habere göre konsere gitme ihtimaliniz nedir? (1–7)
low,Sosyal medyada dolaşan bir habere göre konser iptal edilmiş.,Bu habere göre konsere gitme ihtimaliniz nedir? (1–7)
high,Okulun web sitesine göre sınav sonuçları açıklandı.,Bu habere göre sonuçları kontrol etme ihtimaliniz nedir? (1–7)
high,Okulun web sitesine göre sınav sonuçları açıklanmış.,Bu habere göre sonuçları kontrol etme ihtimaliniz nedir? (1–7)
low,Forum sitesine göre sınav sonuçları açıklandı.,Bu habere göre sonuçları kontrol etme ihtimaliniz nedir? (1–7)
low,Forum sitesine göre sınav sonuçları açıklanmış.,Bu habere göre sonuçları kontrol etme ihtimaliniz nedir? (1–7)
high,Hastanenin resmi duyurusuna göre hastane randevular iptal edildi.,Bu habere göre hastaneye gitme ihtimaliniz nedir? (1–7)
high,Hastanenin resmi duyurusuna göre hastane randevular iptal edilmiş.,Bu habere göre hastaneye gitme ihtimaliniz nedir? (1–7)
low,Tanınmayan bir internet sitesine göre hastane randevular iptal edildi.,Bu habere göre hastaneye gitme ihtimaliniz nedir? (1–7)
low,Tanınmayan bir internet sitesine göre hastane randevular iptal edilmiş.,Bu habere göre hastaneye gitme ihtimaliniz nedir? (1–7)
high,İtalya konsolosluğunun web sitesinde yayınladığı habere göre İtalya vize randevuları kapandı.,Bu habere göre vize başvurusu yapma ihtimaliniz nedir? (1–7)
high,İtalya konsolosluğunun web sitesinde yayınladığı habere göre İtalya vize randevuları kapanmış.,Bu habere göre vize başvurusu yapma ihtimaliniz nedir? (1–7)
low,Bir instagram paylaşımına göre İtalya vize randevuları kapandı.,Bu habere göre vize başvurusu yapma ihtimaliniz nedir? (1–7)
low,Bir instagram paylaşımına göre İtalya vize randevuları kapanmış.,Bu habere göre vize başvurusu yapma ihtimaliniz nedir? (1–7)
high,Resmi park duyurusuna göre park girişe kapatıldı.,Bu habere göre parka gitme ihtimaliniz nedir? (1–7)
high,Resmi park duyurusuna göre park girişe kapatılmış.,Bu habere göre parka gitme ihtimaliniz nedir? (1–7)
low,Bir ziyaretçi yorumuna göre park girişe kapatıldı.,Bu habere göre parka gitme ihtimaliniz nedir? (1–7)
low,Bir ziyaretçi yorumuna göre park girişe kapatılmış.,Bu habere göre parka gitme ihtimaliniz nedir? (1–7)
high,Belediyenin duyurusuna göre yollar kapandı.,Bu habere göre yolu kullanma ihtimaliniz nedir? (1–7)
high,Belediyenin duyurusuna göre yollar kapanmış.,Bu habere göre yolu kullanma ihtimaliniz nedir? (1–7)
low,Sosyal medyada dolaşan bir habere göre yollar kapandı.,Bu habere göre yolu kullanma ihtimaliniz nedir? (1–7)
low,Sosyal medyada dolaşan bir habere göre yollar kapanmış.,Bu habere göre yolu kullanma ihtimaliniz nedir? (1–7)
high,Kargo firmasının sistemine göre paketiniz yola çıktı.,Bu habere göre paketi bekleme ihtimaliniz nedir? (1–7)
high,Kargo firmasının sistemine göre paketiniz yola çıkmış.,Bu habere göre paketi bekleme ihtimaliniz nedir? (1–7)
low,Mahalledeki bakkala göre paketiniz yola çıktı.,Bu habere göre paketi bekleme ihtimaliniz nedir? (1–7)
low,Mahalledeki bakkala göre paketiniz yola çıkmış.,Bu habere göre paketi bekleme ihtimaliniz nedir? (1–7)
filler,Gün içinde kısa molalar vermek faydalıdır.,Bu ifadeye göre kısa mola verme ihtimaliniz nedir? (1–7)
filler,Sabah erken kalkmak günün daha verimli geçmesini sağlar.,Bu ifadeye göre erken kalkma ihtimaliniz nedir? (1–7)
filler,Müzik dinlemek ruh halini olumlu etkiler.,Bu ifadeye göre müzik dinleme ihtimaliniz nedir? (1–7)
filler,Hafta sonları dinlenmek önemlidir.,Bu ifadeye göre hafta sonu dinlenme ihtimaliniz nedir? (1–7)
filler,Yeni şeyler öğrenmek insanı motive eder.,Bu ifadeye göre yeni şeyler öğrenme ihtimaliniz nedir? (1–7)
filler,Günlük plan yapmak işleri kolaylaştırır.,Bu ifadeye göre plan yapma ihtimaliniz nedir? (1–7)
filler,Temiz bir ortamda çalışmak daha rahatlatıcıdır.,Bu ifadeye göre temiz bir ortamda çalışma ihtimaliniz nedir? (1–7)
filler,Yeterince uyumak sağlıklı olmak için gereklidir.,Bu ifadeye göre yeterince uyuma ihtimaliniz nedir? (1–7)
filler,Dışarıda vakit geçirmek iyi hissettirir.,Bu ifadeye göre dışarıda vakit geçirme ihtimaliniz nedir? (1–7)
filler,Düzenli egzersiz yapmak faydalıdır.,Bu ifadeye göre egzersiz yapma ihtimaliniz nedir? (1–7)
filler,Kahvaltı günün önemli bir öğünüdür.,Bu ifadeye göre kahvaltı yapma ihtimaliniz nedir? (1–7)
filler,Kitap okumak zihni geliştirir.,Bu ifadeye göre kitap okuma ihtimaliniz nedir? (1–7)
filler,Gün içinde su içmek önemlidir.,Bu ifadeye göre su içme ihtimaliniz nedir? (1–7)
filler,Zamanı iyi yönetmek stresi azaltır.,Bu ifadeye göre zamanınızı planlama ihtimaliniz nedir? (1–7)
filler,Arkadaşlarla vakit geçirmek keyiflidir.,Bu ifadeye göre arkadaşlarla vakit geçirme ihtimaliniz nedir? (1–7)
filler,Teknoloji günlük hayatı kolaylaştırır.,Bu ifadeye göre teknolojiyi kullanma ihtimaliniz nedir? (1–7)
filler,Yeni yerler görmek ufuk açıcıdır.,Bu ifadeye göre yeni yerler keşfetme ihtimaliniz nedir? (1–7)
filler,Dinlenmek verimliliği artırır.,Bu ifadeye göre dinlenme ihtimaliniz nedir? (1–7)
filler,Gün içinde aktif olmak enerji verir.,Bu ifadeye göre aktif olma ihtimaliniz nedir? (1–7)
filler,Hedef belirlemek motivasyonu artırır.,Bu ifadeye göre hedef belirleme ihtimaliniz nedir? (1–7)
filler,Olumlu alışkanlıklar geliştirmek yaşam kalitesini artırır.,Bu ifadeye göre olumlu alışkanlık geliştirme ihtimaliniz nedir? (1–7)
filler,Gün içinde farklı bakış açılarını değerlendirmek faydalıdır.,Bu ifadeye göre farklı bakış açılarını değerlendirme ihtimaliniz nedir? (1–7)
filler,Gün içinde yeni fikirler üretmek yaratıcılığı artırır.,Bu ifadeye göre yeni fikirler üretme ihtimaliniz nedir? (1–7)
filler,Başkalarına yardım etmek mutluluk hissini güçlendirir.,Bu ifadeye göre yardım etme ihtimaliniz nedir? (1–7)
filler,Zor görevleri ertelememek verimliliği artırır.,Bu ifadeye göre zor işleri ertelememe ihtimaliniz nedir? (1–7)
filler,Yeni beceriler denemek kişisel tatmini artırır.,Bu ifadeye göre yeni beceri deneme ihtimaliniz nedir? (1–7)
filler,Gün içinde üretken kalmaya çalışmak başarıyı destekler.,Bu ifadeye göre üretken kalma ihtimaliniz nedir? (1–7)
filler,İşleri parçalara bölmek yönetimi kolaylaştırır.,Bu ifadeye göre işleri parçalara bölme ihtimaliniz nedir? (1–7)
filler,Dikkatini toparlamak için çalışma ortamını düzenlemek faydalı olabilir.,Bu durumda ortam düzenleme ihtimalin nedir? (1–7)
filler,Zaman baskısı hissettiğinde öncelikleri yeniden belirlemek işe yarayabilir.,Bu durumda öncelikleri yeniden düzenleme ihtimalin nedir? (1–7)
high,Belediyenin resmi duyurusuna göre yeni otobüs hattı bugün hizmete başladı.,Bu habere göre yeni otobüs hattını kullanma ihtimaliniz nedir? (1–7)
high,Belediyenin resmi duyurusuna göre yeni otobüs hattı bugün hizmete başlamış.,Bu habere göre yeni otobüs hattını kullanma ihtimaliniz nedir? (1–7)
low,Bir mahalle grubundaki paylaşıma göre yeni otobüs hattı bugün hizmete başladı.,Bu habere göre yeni otobüs hattını kullanma ihtimaliniz nedir? (1–7)
low,Bir mahalle grubundaki paylaşıma göre yeni otobüs hattı bugün hizmete başlamış.,Bu habere göre yeni otobüs hattını kullanma ihtimaliniz nedir? (1–7)
high,Okul yönetiminin mesajına göre veli toplantısı cuma gününe alındı.,Bu habere göre cuma günü veli toplantısına katılma ihtimaliniz nedir? (1–7)
high,Okul yönetiminin mesajına göre veli toplantısı cuma gününe alınmış.,Bu habere göre cuma günü veli toplantısına katılma ihtimaliniz nedir? (1–7)
low,Bir velinin WhatsApp mesajına göre veli toplantısı cuma gününe alındı.,Bu habere göre cuma günü veli toplantısına katılma ihtimaliniz nedir? (1–7)
low,Bir velinin WhatsApp mesajına göre veli toplantısı cuma gününe alınmış.,Bu habere göre cuma günü veli toplantısına katılma ihtimaliniz nedir? (1–7)
high,Bakanlığın sitesine göre burs başvuru süresi uzatıldı.,Bu habere göre burs başvurunuzu tamamlama ihtimaliniz nedir? (1–7)
high,Bakanlığın sitesine göre burs başvuru süresi uzatılmış.,Bu habere göre burs başvurunuzu tamamlama ihtimaliniz nedir? (1–7)
low,Bir Telegram kanalına göre burs başvuru süresi uzatıldı.,Bu habere göre burs başvurunuzu tamamlama ihtimaliniz nedir? (1–7)
low,Bir Telegram kanalına göre burs başvuru süresi uzatılmış.,Bu habere göre burs başvurunuzu tamamlama ihtimaliniz nedir? (1–7)
high,Havalimanı işletmesinin duyurusuna göre bazı uçuş kapıları değiştirildi.,Bu habere göre uçuş kapınızı tekrar kontrol etme ihtimaliniz nedir? (1–7)
high,Havalimanı işletmesinin duyurusuna göre bazı uçuş kapıları değiştirilmiş.,Bu habere göre uçuş kapınızı tekrar kontrol etme ihtimaliniz nedir? (1–7)
low,Bir yolcunun paylaşımına göre bazı uçuş kapıları değiştirildi.,Bu habere göre uçuş kapınızı tekrar kontrol etme ihtimaliniz nedir? (1–7)
low,Bir yolcunun paylaşımına göre bazı uçuş kapıları değiştirilmiş.,Bu habere göre uçuş kapınızı tekrar kontrol etme ihtimaliniz nedir? (1–7)
high,Kütüphanenin sitesine göre çalışma saatleri yeniden düzenlendi.,Bu habere göre kütüphaneye gitmeden önce saatleri kontrol etme ihtimaliniz nedir? (1–7)
high,Kütüphanenin sitesine göre çalışma saatleri yeniden düzenlenmiş.,Bu habere göre kütüphaneye gitmeden önce saatleri kontrol etme ihtimaliniz nedir? (1–7)
low,Bir kullanıcı yorumuna göre çalışma saatleri yeniden düzenlendi.,Bu habere göre kütüphaneye gitmeden önce saatleri kontrol etme ihtimaliniz nedir? (1–7)
low,Bir kullanıcı yorumuna göre çalışma saatleri yeniden düzenlenmiş.,Bu habere göre kütüphaneye gitmeden önce saatleri kontrol etme ihtimaliniz nedir? (1–7)
high,Festival komitesinin duyurusuna göre konser alanı değişti.,Bu habere göre konsere gitmeden önce etkinlik alanını kontrol etme ihtimaliniz nedir? (1–7)
high,Festival komitesinin duyurusuna göre konser alanı değişmiş.,Bu habere göre konsere gitmeden önce etkinlik alanını kontrol etme ihtimaliniz nedir? (1–7)
